# ./benchmagma.sh m01 5 2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[5,2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m01.dat')"
19 179 (2, 89) 0.488126675288
19 181 (2, 4) 0
19 191 (1, 190) 0.120433012644
19 193 (4, 192) 2.90235074361
19 197 (9, 14) 24.7478087743
19 199 (4, 18) 2.65925041835
19 211 (5, 15) 5.75470074018
19 223 (1, 111) 0.182537555695
19 227 (8, 113) 26.5723142624
19 229 (12, 57) 72.5762953758
19 233 (2, 29) 0.828811089198
19 239 (2, 238) 0.874709685644
19 241 (1, 48) 0.203824996948
19 243 (16, 27) 155.036942323
19 251 (2, 250) 1.01033067703
23 5 (4, 4) 0.0100824038188
23 7 (1, 3) 0.00870617230733
23 9 (1, 6) 0.00869027773539
23 11 (3, 1) 0.0204192797343
23 13 (10, 6) 0.399602731069
23 17 (1, 16) 0.00945536295573
23 19 (5, 9) 0.0953742663066
23 25 (2, 20) 0.0423946380615
23 27 (2, 18) 0.727344671885
23 29 (2, 7) 0.0542296568553
23 31 (10, 10) 0.651274760564
23 37 (4, 12) 0.354268074036
23 41 (1, 10) 0.0129165649414
23 43 (1, 21) 0.0135589440664
23 47 (3, 46) 0.322714010874
23 49 (1, 21) 0.0167776743571
23 53 (1, 4) 0.0162957509359
23 59 (12, 58) 3.91072289149
23 61 (3, 20) 0.120217959086
23 67 (1, 33) 0.0223156611125
23 71 (8, 14) 2.03635557493
23 73 (4, 36) 0.316952308019
23 79 (1, 3) 0.0273566246033
23 81 (2, 54) 3.28713568052
23 83 (2, 41) 0.0922206242879
23 89 (2, 88) 0.106543302536
23 97 (4, 96) 0.568331082662
23 101 (6, 50) 2.25592859586
23 103 (3, 17) 0.349505583445
23 107 (3, 53) 0.372314055761
23 109 (5, 36) 1.3875292937
23 113 (1, 112) 0.0537889798482
23 121 (1, 11) 0.0583573977153
23 125 (1, 100) 0.0595363775889
23 127 (1, 126) 0.0524872938792
23 131 (1, 130) 0.0607310136159
23 137 (6, 136) 3.3128276666
23 139 (4, 46) 1.46435467402
23 149 (8, 148) 11.1169215838
23 151 (1, 30) 0.0725510120392
23 157 (1, 52) 0.0955731074015
23 163 (2, 18) 0.346670707067
23 167 (14, 166) 56.7705732981
23 169 (4, 6) 2.27417524656
23 173 (2, 43) 0.481667598089
23 179 (1, 178) 0.09801141421
23 181 (2, 180) 0.54848297437
23 191 (1, 95) 0.129958232244
23 193 (4, 32) 3.07223272324
23 197 (9, 49) 26.4347980022
23 199 (4, 99) 3.29895567894
23 211 (10, 10) 41.1550583045
23 223 (1, 222) 0.189485390981
