# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20, 2**20+2**10], nbound=[3,2**8], prime=2, loops=10, verbose=True, write=True, fname=os.getcwd()+'/04.dat')
1048589 79 (4, 13) 3.2724 0 0.878 0.0732 0.0608 0.0600000000002 0.0639999999999 0.232799999999
1048589 81 (1, 18) 0.0768 0 0.9112 0.0675999999999 0.1448 0.148 0.1448 0.21
1048589 83 (2, 82) 0.668 0.4312 0.9224 0.3276 0.38 0.3576 0.3456 0.4152
1048589 89 (2, 44) 0.7852 0.4472 1.0872 0.1964 0.238 0.2304 0.218 0.3496
1048589 97 (4, 32) 5.6092 0 3.3696 0.248 0.1916 0.1776 0.1728 0.442
1048589 101 (6, 100) 11.7884 0 1.676 0.8596 0.5944 0.544 0.524 0.7612
1048589 103 (2, 51) 1.134 0.6372 1.7424 0.4852 0.4008 0.3648 0.324 0.6164
1048589 107 (2, 106) 1.2384 0.7092 1.8896 1.0584 0.762 0.718 0.6532 0.928
1048589 109 (10, 27) 47.036 0 1.9772 0.2936 0.2072 0.1928 0.184 0.6012
1048589 113 (1, 56) 0.1576 0 4.2424 0.446 0.4332 0.4144 0.3864 0.5796
1048589 121 (3, 5) 4.804 0 4.3272 0.0984 0.0588 0.052 0.0531999999999 0.5724
1048589 125 (2, 50) 1.8884 1.0284 2.5876 0.4872 0.5676 0.5748 0.5372 0.8652
1048589 127 (2, 42) 1.882 1.0692 2.79 0.6612 0.424 0.4048 0.37 0.9716
1048589 131 (1, 65) 0.218 0 3.0408 0.7028 0.6324 0.6308 0.5644 0.8648
1048589 137 (3, 68) 6.6292 0 5.4792 1.178 0.7168 0.6704 0.6216 1.4084
1048589 139 (4, 23) 9.6868 0 3.402 0.4508 0.264 0.2428 0.2224 1.0624
1048589 149 (4, 74) 11.438 0 5.9084 1.5836 0.9908 0.934 0.9652 2.0016
1048589 151 (6, 75) 31.1692 0 6.4172 1.686 1.0528 1.01 0.92 1.9252
1048589 157 (1, 26) 0.3352 0 7.2736 0.6844 0.3832 0.4208 0.322 1.5344
1048589 163 (2, 81) 3.664 1.8064 4.7012 2.1492 1.2404 1.1716 1.0712 2.3148
1048589 167 (1, 166) 0.3972 0 7.5052 4.8296 2.3672 2.2184 2.0276 3.1616
1048589 169 (2, 39) 3.9304 2.132 5.1988 1.1472 0.5136 0.5064 0.4456 1.8648
1048589 173 (1, 43) 0.408 0 8.7204 0.9048 0.7196 0.662 0.6008 1.556
1048589 179 (2, 178) 4.6156 2.5216 5.884 4.0016 2.7892 2.594 2.3804 3.4456
1048589 181 (6, 10) 46.6552 0 9.3044 0.4528 0.2004 0.1804 0.1596 1.9328
1048589 191 (2, 2) 5.4148 2.7148 6.8284 0.1608 0.0699999999997 0.0671999999999 0.0727999999999 1.0948
1048589 193 (1, 64) 0.548 0 11.0088 3.7332 1.8436 1.6896 1.5976 5.1988
1048589 197 (3, 98) 18.6152 0 15.1788 6.3452 3.1224 2.794 2.5768 4.3572
1048589 199 (1, 9) 0.5644 0 7.528 0.5336 0.2264 0.1872 0.17 2.5408
1048589 211 (10, 210) 227.1208 0 11.9228 11.2924 4.2892 4.092 3.3976 5.9432
1048589 223 (3, 111) 14.9484 0 13.5268 6.7296 2.9092 2.76 2.39 5.444
1048589 227 (8, 113) 157.1676 0 10.3312 9.3388 4.6384 4.27 3.9488 9.4472
1048589 229 (6, 76) 88.4996 0 16.606 5.2288 1.9508 1.7404 1.5672 5.0364
1048589 233 (1, 4) 0.836 0 14.754 0.4296 0.1712 0.1312 0.134 2.4192
1048589 239 (2, 119) 7.0368 4.94 12.47 5.4816 3.4004 3.2032 2.7852 4.6616
1048589 241 (3, 24) 17.9372 0 16.028 1.9128 0.7436 0.6052 0.52 4.6192
1048589 243 (1, 54) 0.9248 0 18.9884 2.5248 1.2512 1.1908 1.0244 3.0964
1048589 251 (2, 250) 7.7616 5.4548 12.6992 13.0624 6.8776 6.5516 5.6636 8.1072
1048601 3 (2, 2) 0.0216 0.0103999999992 0.00559999999969 0.000400000000081 0.000400000000081 0.0 0.0 0.000400000000081
1048601 5 (1, 1) 0.00199999999968 0 0.00840000000026 0.0 0.0 0.0 0 0
1048601 7 (4, 1) 0.0583999999995 0 0.00840000000026 0.000400000000081 0.000400000000081 0.000400000000081 0 0
1048601 9 (2, 6) 0.0392000000007 0.0223999999995 0.0152000000002 0.000800000000163 0.00199999999968 0.00160000000033 0.00199999999968 0.00120000000024
1048601 11 (1, 5) 0.00319999999992 0 0.0411999999997 0.00160000000033 0.00239999999976 0.00239999999976 0.00280000000057 0.00239999999976
1048601 13 (1, 4) 0.00360000000001 0 0.0284 0.0015999999996 0.00240000000049 0.00199999999968 0.00199999999968 0.00280000000057
1048601 17 (1, 16) 0.00480000000025 0 0.0648000000001 0.00319999999992 0.00959999999977 0.00880000000034 0.00919999999969 0.00919999999969
1048601 19 (2, 18) 0.0843999999997 0.0603999999999 0.0512000000002 0.00479999999952 0.0120000000003 0.0112000000001 0.0116000000002 0.0115999999995
1048601 23 (2, 11) 0.0955999999998 0.0716 0.0692000000003 0.00440000000017 0.0111999999994 0.0112000000001 0.0103999999999 0.0120000000003
1048601 25 (1, 1) 0.00760000000009 0 0.114799999999 0.00120000000024 0.000800000000163 0.0015999999996 0 0
1048601 27 (2, 18) 0.1232 0.0964 0.0947999999997 0.00920000000042 0.0159999999996 0.0167999999998 0.0164000000004 0.0195999999996
1048601 29 (1, 28) 0.00919999999969 0 0.132 0.0144 0.0264000000003 0.0256000000001 0.0255999999994 0.0236000000004
1048601 31 (2, 6) 0.1264 0.0915999999997 0.1136 0.00640000000058 0.00799999999945 0.00840000000026 0.00840000000026 0.0163999999997
1048601 37 (1, 18) 0.0140000000007 0 0.1928 0.018 0.0288 0.0279999999999 0.0275999999998 0.0392
1048601 41 (2, 40) 0.1936 0.1256 0.2 0.0383999999998 0.0640000000007 0.0599999999999 0.0599999999999 0.0616000000002
1048601 43 (4, 42) 0.7756 0 0.2548 0.0579999999994 0.0700000000004 0.0659999999996 0.0644 0.0792000000001
1048601 47 (1, 46) 0.0224000000002 0 0.2784 0.0832000000002 0.0911999999997 0.0876000000004 0.0847999999998 0.1056
1048601 49 (4, 1) 0.982799999999 0 0.3204 0.00360000000001 0.00240000000049 0.00479999999952 0 0
1048601 53 (7, 13) 5.0756 0 0.3548 0.0291999999994 0.0344000000005 0.0328000000001 0.0331999999995 0.0740000000005
1048601 59 (12, 29) 17.1232 0 0.4736 0.0807999999997 0.0856 0.0843999999997 0.0796000000002 0.1308
1048601 61 (3, 4) 0.847199999999 0 0.4648 0.018 0.0159999999996 0.0160000000003 0.0167999999998 0.0828000000001
1048601 67 (4, 66) 2.138 0 0.618799999999 0.222 0.2116 0.1988 0.192 0.2568
1048601 71 (4, 35) 2.5028 0 0.696 0.1416 0.1412 0.1372 0.13 0.2268
1048601 73 (2, 72) 0.511599999999 0.3336 0.7264 0.2892 0.257999999999 0.238 0.2336 0.32
1048601 79 (4, 78) 3.2692 0 0.881200000001 0.4016 0.362 0.3456 0.3284 0.4452
1048601 81 (2, 54) 0.8192 0.552 1.0384 0.268399999999 0.2116 0.2088 0.1968 0.3356
1048601 83 (1, 82) 0.0743999999999 0 0.9476 0.3308 0.3788 0.3588 0.343599999999 0.3784
1048601 89 (1, 88) 0.0864000000001 0 1.216 0.4044 0.4404 0.410000000001 0.393599999999 0.5056
1048601 97 (2, 48) 0.9768 0.5632 1.5548 0.3696 0.2908 0.27 0.258 0.514799999999
1048601 101 (6, 25) 12.2324 0 1.5948 0.225999999999 0.1724 0.1596 0.1544 0.4508
1048601 103 (6, 17) 12.368 0 1.7312 0.1704 0.1292 0.1236 0.1148 0.4344
1048601 107 (6, 1) 13.5096 0 1.7544 0.0256000000001 0.0103999999999 0.0304000000004 0 0
1048601 109 (10, 27) 47.2968 0 1.9264 0.3232 0.224000000001 0.1988 0.1876 0.5572
1048601 113 (2, 112) 1.4284 0.7764 2.1112 0.864 0.8184 0.747199999999 0.716800000001 0.846
1048601 121 (3, 55) 4.8864 0 2.6188 0.702 0.445599999999 0.4476 0.4124 0.892400000001
1048601 125 (1, 5) 0.1864 0 2.5772 0.0815999999992 0.0576000000001 0.0552000000003 0.0548000000003 0.343599999999
1048601 127 (4, 42) 8.0536 0 2.9532 0.6672 0.4396 0.416 0.3808 0.9904
