# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[4,2**10], nbound=[2**8,2**9], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/02.dat')
11 257 (2, 64) 0.629333333333 0.402666666667 1.96266666667 3.836 0.682666666668 0.536 0.404 2.052
11 263 (1, 131) 0.0679999999993 0 2.16 8.556 1.42266666667 1.312 0.920000000001 2.708
11 269 (8, 134) 18.1653333333 0 4.58 9.27066666667 1.50533333333 1.39466666667 0.98 2.92533333333
11 271 (1, 135) 0.0706666666665 0 2.11733333333 9.624 1.57733333333 1.47066666667 1.00933333333 3.044
11 277 (2, 276) 0.702666666666 0.480000000001 0 21.4693333333 2.99866666667 2.90533333333 1.848 3.88266666667
11 281 (1, 280) 0.0759999999997 0 2.764 13.024 2.98133333333 2.932 1.89866666667 3.26533333333
11 283 (6, 141) 10.58 0 2.33066666667 11.2666666667 1.764 1.62933333333 1.164 3.40133333333
11 289 (2, 272) 0.8 0.512 0 22.6146666667 2.30666666667 2.99733333333 1.86133333333 4.10133333333
11 293 (2, 292) 0.769333333334 0.507999999999 2.28266666667 14.6573333333 3.29866666667 3.228 2.05466666667 3.43333333333
11 307 (4, 153) 5.168 0 2.57466666667 15.616 2.168 2.004 1.36533333333 4.08533333333
11 311 (3, 62) 2.884 0 4.48533333333 6.32933333333 1.00933333333 0.826666666665 0.582666666668 3.37466666667
11 313 (6, 78) 13.168 0 5.80133333333 8.13066666667 1.268 1.01333333333 0.749333333333 3.63066666667
11 317 (26, 79) 410.848 0 4.74533333333 8.49733333333 1.304 1.072 0.784 3.752
11 331 (3, 330) 3.30133333333 0 2.868 41.328 4.82266666667 4.244 2.87333333333 5.98666666667
11 337 (10, 112) 49.0133333333 0 2.992 14.024 1.91733333333 1.52666666666 1.08133333333 4.50933333333
11 343 (2, 147) 1.53733333333 0.709333333334 3.04266666667 19.2533333333 2.0 2.22266666667 1.54533333333 5.16933333333
11 347 (6, 173) 16.6626666667 0 4.91866666667 24.1626666667 3.212 2.984 2.04666666667 5.71466666667
11 349 (10, 116) 54.7653333333 0 3.49866666667 16.5026666667 2.25866666667 1.91333333333 1.376 5.13066666667
11 353 (14, 88) 120.84 0 4.584 12.488 1.70533333333 1.344 1.004 4.92133333333
11 359 (2, 179) 1.67866666667 0.801333333333 4.048 14.8533333333 3.42933333333 3.224 2.196 5.56133333333
11 361 (3, 57) 4.17066666667 0 9.75866666667 8.53866666667 0.94 0.868 0.633333333334 4.692
11 367 (6, 366) 19.0226666667 0 6.56666666667 62.576 6.65733333333 6.03733333333 3.98533333333 8.168
11 373 (4, 372) 7.94 0 7.37333333333 65.372 7.072 6.04133333333 4.032 8.39466666667
11 379 (12, 54) 101.329333333 0 0 9.41866666667 1.34266666667 1.036 0.749333333333 5.54933333333
11 383 (12, 382) 103.637333333 0 8.124 73.0453333333 7.58266666667 7.00133333333 4.54666666667 9.332
11 389 (4, 97) 9.06133333333 0 5.02533333333 17.9773333333 2.136 1.59066666667 1.17466666667 6.27066666667
11 397 (1, 99) 0.162666666667 0 4.31066666667 19.54 2.32933333333 1.77733333333 1.292 6.648
11 401 (8, 200) 44.564 0 4.46 40.9946666667 4.43466666667 3.792 2.58933333333 8.056
11 409 (1, 136) 0.173333333335 0 4.43066666666 29.4013333333 3.348 2.75466666667 2.02133333333 7.74
11 419 (2, 418) 2.3 1.29866666667 0 53.9253333333 8.62666666667 7.38533333333 4.94666666667 8.112
11 421 (2, 105) 2.39333333333 1.264 4.86266666667 24.6333333333 2.66933333333 2.01733333333 1.45733333333 7.688
11 431 (2, 215) 2.45866666667 0.979999999998 6.208 29.0266666667 5.72133333333 5.47466666667 3.56 7.58666666666
11 433 (4, 216) 11.0373333333 0 4.62533333333 55.244 5.912 5.168 3.416 10.2226666667
11 439 (5, 219) 19.032 0 10.1853333333 58.592 5.972 5.72133333333 3.68666666667 10.4906666667
11 443 (1, 442) 0.210666666668 0 12.5186666667 67.8506666667 10.3426666667 9.32666666667 6.05733333333 10.8266666667
11 449 (8, 56) 57.852 0 4.97866666667 15.424 1.792 1.19733333333 0.905333333333 8.45866666667
11 457 (30, 152) 1127.648 0 7.032 44.644 4.41466666667 3.596 2.49733333333 10.3533333333
11 461 (1, 460) 0.231999999999 0 5.23466666667 144.16 11.4186666667 9.57866666667 6.30133333333 13.8786666667
11 463 (12, 462) 157.8 0 5.324 147.005333333 11.7813333333 10.0946666667 6.40533333333 14.168
11 467 (6, 466) 32.4133333333 0 12.6666666667 151.066666667 11.768 9.784 6.296 14.4053333333
11 479 (1, 239) 0.265333333334 0 12.9786666667 81.8693333333 7.61466666667 7.05733333333 4.54 13.3386666667
11 487 (4, 486) 14.4173333333 0 6.31333333333 177.534666667 13.7173333333 11.6733333333 7.468 16.4293333333
11 491 (2, 245) 3.172 1.54533333333 6.18 47.0933333333 7.652 7.048 4.536 10.136
11 499 (4, 498) 14.972 0 6.7 195.164 14.6786666667 12.5013333333 8.08666666667 17.7533333333
11 503 (6, 251) 39.204 0 6.66933333333 99.256 9.14133333333 8.31866666667 5.356 15.8826666667
11 509 (1, 254) 0.296 0 15.0013333333 54.128 9.04266666667 8.63466666667 5.53733333333 10.528
13 257 (3, 128) 2.056 0 2.28 7.68 1.244 1.07733333333 0.766666666665 2.41333333333
13 263 (6, 131) 9.34933333333 0 4.42 8.532 1.40666666666 1.284 0.892 2.676
