model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
SageMath version 7.4, Release Date: 2016-10-18
8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20,2**20+2**9], nbound=[2**8,2**10], prime=2, loops=1, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/10.dat')
1048583 911 (1, 182) 21.624 0 339.42 244.188 57.472 36.176 27.24 148.244
1048583 919 (4, 153) 800.32 0 412.104 401.436 48.732 28.732 21.936 197.208
1048583 929 (8, 8) 3712.24 0 339.304 32.676 6.68400000001 2.08799999999 1.80000000002 178.12
1048583 937 (1, 936) 23.124 0 387.04 2574.696 204.944 143.068 120.836 284.052
1048583 941 (2, 940) 168.112 112.324 339.96 2617.152 209.864 149.672 122.556 287.92
1048583 947 (6, 946) 2057.456 0 367.912 2660.188 215.148 150.476 122.756 292.396
1048583 953 (1, 952) 23.728 0 367.74 1530.408 216.372 154.52 126.244 238.176
1048583 961 (4, 155) 880.5 0 375.084 454.732 46.136 28.38 22.48 218.22
1048583 967 (16, 966) 16814.8 0 359.732 2851.984 222.616 153.796 125.696 303.064
1048583 971 (6, 970) 2146.036 0 377.424 2890.528 225.848 157.236 127.416 308.22
1048583 977 (1, 488) 25.112 0 357.48 1481.788 138.012 99.396 77.904 274.456
1048583 983 (14, 982) 13825.772 0 374.892 3056.348 238.004 169.668 135.364 321.128
1048583 991 (3, 165) 483.064 0 411.776 521.292 61.072 37.684 28.312 240.448
1048583 997 (2, 996) 194.768 168.336 433.196 3219.772 240.944 169.864 140.068 334.92
1048583 1009 (10, 252) 7489.644 0 403.608 834.648 85.0 54.476 42.304 259.028
1048583 1013 (1, 92) 27.892 0 414.288 165.732 38.692 20.52 15.4559999999 197.036
1048583 1019 (2, 1018) 203.308 146.248 411.596 1945.232 263.268 190.6 151.032 305.548
1048583 1021 (5, 85) 1643.512 0 423.86 305.724 37.132 19.696 14.628 244.928
1048589 257 (1, 128) 1.06799999997 0 17.308 10.468 3.72399999999 3.22400000005 2.924 7.61599999998
