# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**30,2**30+2**8], nbound=[2**5,2**6], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/05.dat')
1073741969 43 (1, 42) 0.0413333333333 0 0.6 0.0946666666667 0.12 0.104 0.113333333333 0.125333333333
1073741969 47 (1, 46) 0.0506666666667 0 0.681333333333 0.134666666667 0.156 0.138666666667 0.149333333333 0.168
1073741969 49 (4, 14) 2.772 0 0.749333333333 0.04 0.0666666666667 0.0613333333333 0.0666666666667 0.112
1073741969 53 (2, 4) 0.697333333333 0.385333333333 0.781333333333 0.02 0.0186666666667 0.02 0.0226666666667 0.0506666666667
1073741969 59 (1, 29) 0.0853333333333 0 1.04 0.130666666667 0.152 0.145333333333 0.148 0.214666666667
1073741969 61 (6, 15) 11.9333333333 0 1.108 0.0773333333333 0.0746666666667 0.0693333333333 0.0746666666667 0.164
1073741971 37 (1, 3) 0.0306666666667 0 0.365333333333 0.00933333333334 0.00933333333334 0.00933333333334 0.0106666666666 0.032
1073741971 41 (1, 10) 0.0373333333334 0 0.538666666667 0.0173333333333 0.0293333333333 0.0266666666667 0.032 0.0386666666667
1073741971 43 (4, 14) 2.05866666667 0 0.517333333333 0.0346666666667 0.0426666666667 0.04 0.0426666666666 0.0693333333334
1073741971 47 (6, 46) 6.33733333333 0 0.709333333333 0.134666666667 0.158666666667 0.14 0.152 0.169333333333
1073741971 49 (2, 7) 0.602666666667 0.278666666667 0.728 0.0226666666667 0.0253333333333 0.0226666666667 0.0266666666666 0.0773333333333
1073741971 53 (2, 26) 0.7 0.369333333333 0.825333333333 0.0733333333333 0.114666666667 0.104 0.114666666667 0.138666666667
1073741971 59 (6, 29) 11.0466666667 0 1.06533333333 0.132 0.156 0.145333333333 0.152 0.217333333333
1073741971 61 (3, 20) 2.37466666667 0 1.04133333333 0.0986666666667 0.109333333333 0.101333333333 0.106666666667 0.189333333333
1073741987 37 (2, 3) 0.338666666667 0.204 0.394666666667 0.00933333333334 0.00933333333334 0.00933333333334 0.0106666666666 0.032
1073741987 41 (1, 20) 0.0373333333334 0 0.510666666667 0.0346666666667 0.06 0.056 0.0613333333333 0.064
1073741987 43 (1, 21) 0.04 0 0.541333333333 0.0493333333333 0.0693333333334 0.0653333333333 0.0933333333333 0.0973333333333
1073741987 47 (2, 23) 0.58 0.294666666667 0.648 0.0706666666667 0.088 0.0826666666667 0.0866666666667 0.12
1073741987 49 (4, 42) 2.78133333333 0 0.7 0.108 0.142666666667 0.132 0.141333333333 0.204
1073741987 53 (1, 52) 0.0733333333333 0 0.838666666667 0.137333333333 0.201333333333 0.178666666667 0.193333333333 0.196
1073741987 59 (14, 58) 83.02 0 1.03066666667 0.252 0.298666666667 0.268 0.282666666667 0.325333333333
1073741987 61 (1, 12) 0.0893333333333 0 1.13066666667 0.0626666666666 0.0613333333333 0.0586666666667 0.0626666666667 0.154666666667
1073741993 37 (4, 36) 1.57866666667 0 0.44 0.0573333333333 0.0853333333334 0.0746666666666 0.0826666666667 0.0866666666667
1073741993 41 (2, 10) 0.422666666667 0.229333333333 0.452 0.0186666666667 0.0306666666667 0.0266666666666 0.032 0.044
1073741993 43 (4, 1) 2.05866666667 0 0.510666666667 0.00533333333336 0.00266666666668 0.00666666666666 0 0
1073741993 47 (3, 46) 1.33466666667 0 0.689333333333 0.134666666667 0.157333333333 0.141333333333 0.150666666667 0.169333333333
1073741993 49 (3, 21) 2.08666666667 0 0.708 0.056 0.148 0.142666666667 0.148 0.185333333333
1073741993 53 (2, 13) 0.68 0.332 0.921333333333 0.036 0.0533333333334 0.0493333333333 0.056 0.0639999999999
1073741993 59 (3, 29) 2.28 0 1.06666666667 0.132 0.156 0.146666666667 0.150666666667 0.217333333333
1073741993 61 (3, 30) 2.408 0 1.05733333333 0.144 0.168 0.157333333333 0.162666666667 0.238666666667
1073742037 37 (4, 36) 1.48533333333 0 0.373333333333 0.056 0.084 0.0746666666667 0.0826666666666 0.0853333333334
1073742037 41 (1, 40) 0.036 0 0.548 0.0613333333334 0.109333333333 0.0933333333333 0.105333333333 0.096
1073742037 43 (2, 14) 0.465333333333 0.248 0.544 0.032 0.0426666666667 0.04 0.044 0.0693333333333
1073742037 47 (1, 23) 0.0506666666667 0 0.658666666667 0.0693333333334 0.0893333333333 0.0826666666667 0.088 0.12
1073742037 49 (4, 21) 2.76533333333 0 0.690666666667 0.056 0.0693333333334 0.0626666666666 0.0693333333334 0.109333333333
1073742037 53 (1, 26) 0.0653333333333 0 0.904 0.0733333333333 0.112 0.102666666667 0.110666666667 0.114666666667
1073742037 59 (6, 58) 11.152 0 1.02 0.252 0.297333333333 0.266666666667 0.284 0.322666666667
1073742037 61 (3, 12) 2.40266666667 0 1.19333333333 0.0626666666667 0.064 0.0586666666666 0.0653333333333 0.156
1073742053 37 (4, 36) 1.54 0 0.401333333333 0.0573333333333 0.0853333333333 0.0746666666667 0.0826666666667 0.0853333333333
1073742053 41 (2, 10) 0.42 0.2 0.432 0.0173333333334 0.0306666666667 0.0279999999999 0.032 0.0426666666667
1073742053 43 (10, 42) 17.6346666667 0 0.546666666667 0.0946666666667 0.125333333333 0.109333333333 0.118666666667 0.129333333333
1073742053 47 (3, 23) 1.368 0 0.622666666667 0.0706666666667 0.088 0.084 0.088 0.12
1073742053 49 (1, 14) 0.0546666666666 0 0.718666666667 0.0413333333334 0.0813333333332 0.076 0.084 0.128
1073742053 53 (1, 1) 0.0666666666666 0 0.808 0.00666666666666 0.00400000000006 0.00933333333326 0 0
1073742053 59 (12, 58) 57.7293333333 0 1.14666666667 0.253333333333 0.3 0.269333333333 0.285333333333 0.325333333333
1073742053 61 (3, 30) 2.408 0 1.08266666667 0.142666666667 0.169333333333 0.157333333333 0.164 0.24
1073742073 37 (1, 1) 0.0306666666667 0 0.385333333333 0.00399999999991 0.00266666666676 0.00400000000006 0 0
1073742073 41 (1, 20) 0.0386666666667 0 0.538666666667 0.0333333333333 0.0626666666667 0.0573333333333 0.0626666666665 0.0693333333334
1073742073 43 (1, 21) 0.0413333333334 0 0.514666666667 0.0493333333334 0.072 0.0653333333333 0.072 0.0933333333334
1073742073 47 (6, 1) 6.348 0 0.688 0.00533333333336 0.00400000000006 0.00799999999996 0 0
1073742073 49 (4, 42) 2.832 0 0.684 0.108 0.148 0.136 0.146666666667 0.169333333333
1073742073 53 (1, 52) 0.0653333333333 0 0.970666666667 0.138666666667 0.210666666667 0.177333333333 0.198666666667 0.192
1073742073 59 (3, 58) 2.26 0 1.084 0.256 0.318666666667 0.277333333333 0.296 0.326666666667
1073742073 61 (3, 30) 2.41333333333 0 1.196 0.144 0.173333333333 0.161333333333 0.168 0.244
1073742077 37 (4, 36) 1.504 0 0.404 0.0573333333333 0.0919999999999 0.0786666666668 0.0879999999999 0.0906666666666
1073742077 41 (1, 40) 0.0373333333334 0 0.5 0.0613333333334 0.113333333333 0.0973333333333 0.109333333333 0.0999999999999
1073742077 43 (4, 2) 2.07466666667 0 0.569333333333 0.0106666666667 0.00933333333326 0.0106666666667 0.0133333333333 0.0453333333333
1073742077 47 (3, 46) 1.336 0 0.628 0.134666666667 0.161333333333 0.145333333333 0.157333333333 0.174666666667
1073742077 49 (4, 3) 2.772 0 0.749333333333 0.0146666666666 0.0160000000001 0.0133333333333 0.0186666666667 0.072
1073742077 53 (2, 26) 0.7 0.376 0.848 0.0733333333333 0.117333333333 0.105333333333 0.118666666667 0.128
1073742077 59 (4, 29) 4.27066666667 0 1.23866666667 0.132 0.16 0.149333333333 0.158666666667 0.221333333333
1073742077 61 (3, 20) 2.384 0 1.04 0.0999999999999 0.12 0.110666666667 0.12 0.201333333333
