# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10,2**10+2**9], nbound=[3,2**9], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/04.dat')
1283 349 (2, 348) 4.236 3.04933333333 10.1106666667 55.5266666667 8.776 7.80666666667 6.236 12.416
1283 353 (2, 352) 4.34266666667 2.956 11.1973333333 56.5693333333 8.58933333333 7.54666666667 5.79333333333 12.432
1283 359 (2, 358) 4.36533333333 3.49866666667 14.276 36.8266666667 9.44933333333 8.58133333333 6.56266666667 11.204
1283 361 (18, 342) 1813.384 0 19.0493333333 57.724 7.61066666667 8.56133333333 6.36 13.4906666667
1283 367 (3, 183) 11.468 0 17.0066666667 33.2986666667 5.984 5.60133333333 4.14533333333 12.152
1283 373 (4, 186) 23.1946666667 0 12.7586666667 34.892 6.28933333333 5.81066666667 4.364 12.384
1283 379 (4, 189) 23.936 0 16.9906666667 37.564 6.64266666667 6.27733333333 4.55466666667 12.9253333333
1283 383 (3, 191) 12.808 0 12.2133333333 39.1693333333 6.97866666667 6.79466666667 4.908 13.6466666667
1283 389 (8, 388) 254.914666667 0 13.356 82.7213333333 11.3146666667 9.24933333333 7.32 15.8213333333
1283 397 (6, 99) 68.0253333333 0 20.3106666667 21.624 3.596 2.772 2.204 11.8813333333
1283 401 (8, 50) 271.557333333 0 14.0946666667 11.1533333333 1.97333333333 1.38266666667 1.09733333333 11.024
1283 409 (4, 408) 28.5706666667 0 14.588 99.4333333333 12.8666666667 11.4573333333 8.78666666667 18.4613333333
1283 419 (1, 418) 0.966666666667 0 15.848 64.3373333333 13.688 11.528 8.976 14.2546666667
1283 421 (5, 3) 51.688 0 15.2413333333 1.10666666667 0.325333333334 0.181333333333 0.153333333333 11.5226666667
1283 431 (1, 430) 1.032 0 15.676 73.4226666667 15.1613333333 13.516 10.0573333333 17.8893333333
1283 433 (4, 9) 32.96 0 16.8626666667 2.81866666667 0.656000000001 0.384 0.3 12.4786666667
1283 439 (5, 219) 57.3293333333 0 16.668 64.3653333333 9.62133333333 8.79333333333 6.35466666667 18.5386666667
1283 443 (1, 442) 1.104 0 23.9813333333 81.636 16.7306666667 14.3813333333 10.9666666667 16.6013333333
1283 449 (8, 112) 350.284 0 25.824 34.3133333333 4.93466666667 3.596 2.86933333333 16.5933333333
1283 457 (15, 152) 1401.204 0 26.5786666667 48.644 6.97066666667 5.632 4.384 18.656
1283 461 (3, 115) 19.2826666667 0 19.9373333333 37.6693333333 5.51066666667 4.23733333333 3.29333333333 17.7546666667
1283 463 (3, 77) 19.4586666667 0 20.4506666667 25.7973333333 3.96933333333 3.01733333333 2.28666666667 17.0946666667
1283 467 (3, 233) 20.0413333333 0 27.8746666667 79.544 10.8933333333 9.55333333333 7.05066666667 21.724
1283 479 (8, 478) 398.424 0 33.236 182.242666667 20.4453333333 17.8613333333 13.596 28.356
1283 487 (4, 162) 43.4533333333 0 33.5373333333 62.644 8.70266666667 7.09866666667 5.412 22.2946666667
1283 491 (1, 70) 1.40533333333 0 21.9613333333 16.0893333333 4.02133333333 2.95866666667 2.25066666667 14.2853333333
1283 499 (2, 249) 9.13466666667 7.68533333333 22.852 102.633333333 13.4386666667 11.7893333333 8.58133333333 26.564
1283 503 (6, 502) 235.384 0 29.0666666667 218.213333333 22.6333333333 19.596 14.192 31.8986666667
1283 509 (2, 508) 9.97066666667 7.91733333333 23.7453333333 133.3 23.448 20.3813333333 14.8013333333 27.7906666667
1289 3 (2, 2) 0.0253333333336 0.00800000000042 0.012 0.0013333333336 0.0 0.0 0.0 0.0
1289 5 (2, 2) 0.0226666666664 0.00933333333402 0.0106666666664 0.0 0.0013333333336 0.0 0.0 0.0
1289 7 (2, 1) 0.0226666666664 0.00933333333281 0.012 0.0 0.0 0.0013333333336 0 0
1289 9 (1, 6) 0.00266666666721 0 0.0186666666656 0.0013333333336 0.0013333333336 0.0013333333336 0.0 0.0013333333336
1289 11 (3, 10) 0.0426666666669 0 0.0146666666672 0.002666666666 0.0013333333336 0.00266666666721 0.002666666666 0.00266666666721
1289 13 (2, 12) 0.0480000000001 0.0146666666672 0.0186666666668 0.0013333333336 0.0039999999996 0.002666666666 0.00266666666721 0.0039999999996
1289 17 (6, 16) 0.109333333334 0 0.0333333333328 0.00266666666721 0.00533333333321 0.00533333333321 0.00533333333321 0.00533333333321
1289 19 (10, 9) 0.282666666666 0 0.0453333333341 0.002666666666 0.00400000000081 0.00533333333321 0.0039999999996 0.00533333333321
1289 23 (2, 1) 0.0466666666665 0.0226666666664 0.0360000000001 0.0 0.0013333333336 0.0013333333336 0 0
1289 25 (2, 10) 0.0493333333337 0.0253333333324 0.0400000000009 0.00533333333321 0.0039999999996 0.00533333333321 0.00533333333321 0.00800000000042
1289 27 (2, 18) 0.0600000000001 0.0279999999996 0.0586666666665 0.00666666666681 0.00933333333281 0.0106666666676 0.00933333333281 0.012
1289 29 (2, 14) 0.0600000000001 0.0279999999996 0.0480000000001 0.00666666666681 0.00933333333281 0.00933333333402 0.00933333333281 0.0133333333336
1289 31 (5, 15) 0.196 0 0.0533333333333 0.00933333333281 0.0106666666664 0.012 0.0106666666676 0.0159999999996
1289 37 (4, 4) 0.181333333333 0 0.0973333333338 0.00533333333321 0.00533333333321 0.00400000000081 0.00533333333321 0.0159999999996
1289 41 (1, 5) 0.0079999999992 0 0.121333333334 0.00533333333321 0.00666666666681 0.00666666666681 0.00666666666681 0.0133333333336
1289 43 (2, 2) 0.0946666666666 0.0493333333337 0.0840000000001 0.00533333333321 0.0039999999996 0.00400000000081 0.0039999999996 0.0200000000004
1289 47 (3, 46) 0.165333333334 0 0.107999999999 0.0746666666673 0.0480000000001 0.0506666666661 0.0426666666669 0.0600000000001
1289 49 (2, 7) 0.103999999999 0.0626666666673 0.109333333333 0.0106666666664 0.00800000000042 0.00933333333281 0.00666666666681 0.0320000000005
1289 53 (2, 26) 0.118666666667 0.0666666666657 0.128000000001 0.0360000000001 0.0346666666665 0.0360000000001 0.0306666666669 0.0466666666665
1289 59 (3, 58) 0.257333333332 0 0.169333333334 0.137333333333 0.0826666666665 0.0826666666665 0.0706666666665 0.102666666667
1289 61 (3, 20) 0.264 0 0.198666666667 0.0426666666669 0.0360000000001 0.0359999999988 0.0320000000005 0.0746666666673
1289 67 (1, 33) 0.0173333333332 0 0.236000000001 0.0960000000002 0.0600000000001 0.0626666666661 0.0533333333333 0.109333333334
1289 71 (4, 70) 0.602666666667 0 0.296 0.237333333333 0.129333333333 0.132 0.110666666667 0.172
1289 73 (4, 36) 0.634666666666 0 0.236 0.121333333334 0.0759999999997 0.0773333333333 0.0653333333333 0.138666666667
1289 79 (4, 39) 0.744 0 0.298666666667 0.168 0.0960000000002 0.0999999999998 0.0826666666665 0.176000000001
1289 81 (2, 54) 0.214666666667 0.149333333333 0.306666666667 0.151999999999 0.153333333333 0.166666666667 0.148 0.197333333334
1289 83 (2, 41) 0.222666666667 0.16 0.330666666666 0.142666666667 0.106666666667 0.109333333334 0.0919999999993 0.154666666667
1289 89 (1, 88) 0.0279999999996 0 0.434666666667 0.344 0.222666666667 0.225333333333 0.189333333333 0.241333333333
1289 97 (1, 32) 0.0346666666665 0 1.272 0.198666666667 0.106666666667 0.101333333333 0.0826666666665 0.250666666667
1289 101 (2, 50) 0.321333333333 0.190666666667 1.35866666667 0.353333333334 0.173333333333 0.173333333333 0.145333333333 0.317333333334
1289 103 (1, 102) 0.0400000000009 0 1.22933333333 0.786666666667 0.334666666667 0.337333333333 0.276 0.456
1289 107 (2, 106) 0.371999999999 0.246666666667 1.27466666667 0.889333333333 0.365333333334 0.366666666666 0.3 0.488
1289 109 (10, 36) 11.2293333333 0 2.95466666667 0.305333333334 0.148000000001 0.145333333334 0.122666666666 0.342666666667
1289 113 (2, 112) 0.397333333333 0.276 1.35866666667 0.718666666666 0.408000000001 0.399999999999 0.334666666667 0.466666666667
1289 121 (3, 110) 1.00666666667 0 1.51733333333 1.15866666667 0.424 0.498666666666 0.393333333333 0.665333333333
1289 125 (2, 50) 0.469333333333 0.346666666667 3.10533333333 0.373333333333 0.301333333333 0.328 0.285333333333 0.549333333334
1289 127 (2, 3) 0.490666666667 0.362666666667 1.532 0.0519999999997 0.0266666666672 0.0253333333324 0.0226666666676 0.395999999999
1289 131 (2, 130) 0.522666666666 0.360000000001 1.59466666667 1.13866666667 0.638666666667 0.622666666666 0.522666666666 0.785333333333
1289 137 (3, 17) 1.31466666667 0 3.484 0.245333333334 0.109333333334 0.101333333333 0.0853333333325 0.564000000001
1289 139 (1, 69) 0.0759999999997 0 1.9 1.03466666667 0.424 0.417333333333 0.345333333333 0.826666666668
1289 149 (8, 148) 13.7226666667 0 1.87866666667 2.63066666667 0.901333333334 0.887999999999 0.722666666667 1.25866666667
1289 151 (6, 25) 7.36533333333 0 3.47866666667 0.458666666667 0.185333333333 0.174666666667 0.142666666667 0.759999999998
1289 157 (5, 78) 5.43466666667 0 3.708 1.608 0.574666666666 0.573333333334 0.46 1.14133333333
1289 163 (4, 162) 3.604 0 3.81466666667 3.57733333333 1.12133333333 1.09733333333 0.885333333333 1.62666666667
1289 167 (2, 166) 0.863999999999 0.537333333334 2.36266666667 3.97333333333 1.188 1.18133333333 0.938666666666 1.67066666667
1289 169 (4, 156) 3.86933333333 0 2.156 3.608 1.032 1.20533333333 0.946666666667 1.70933333333
1289 173 (2, 86) 0.908000000001 0.578666666668 2.364 1.452 0.72 0.714666666667 0.570666666667 1.124
1289 179 (2, 89) 0.992 0.674666666667 2.636 1.588 0.769333333334 0.754666666666 0.597333333334 1.09866666667
1289 181 (1, 20) 0.137333333333 0 4.64 0.576 0.209333333334 0.190666666667 0.156 1.16533333333
1289 191 (2, 190) 1.15466666667 0.709333333334 2.924 4.50933333333 1.844 1.952 1.512 2.22133333333
1289 193 (1, 48) 0.161333333333 0 5.128 1.54 0.466666666667 0.401333333334 0.34 1.60266666667
1289 197 (9, 98) 34.6466666667 0 5.47466666667 3.36933333333 0.956000000001 0.9 0.72 1.98266666667
1289 199 (4, 198) 5.54533333333 0 4.98666666667 7.32933333333 1.904 1.87866666667 1.46933333333 2.69733333333
1289 211 (10, 10) 51.8893333333 0 3.33333333333 0.422666666668 0.146666666666 0.130666666667 0.109333333334 1.68
1289 223 (12, 74) 177.066666667 0 3.81066666667 3.62933333333 1.08666666667 1.01866666667 0.829333333334 2.656
1289 227 (24, 226) 868.42 0 4.28266666667 11.7066666667 2.72 2.636 2.04666666667 3.82533333333
1289 229 (6, 57) 19.0493333333 0 3.98533333333 2.92266666667 0.804000000001 0.702666666667 0.583999999999 2.572
1289 233 (2, 116) 1.776 1.04266666667 4.14666666667 3.792 1.648 1.57333333333 1.25333333333 2.31066666667
1289 239 (1, 238) 0.260000000001 0 4.456 9.192 3.17333333333 3.23733333333 2.39066666667 3.032
1289 241 (3, 240) 4.54 0 4.29333333333 14.4186666667 3.17333333333 3.05333333333 2.316 4.44133333333
1289 243 (1, 162) 0.266666666666 0 4.43866666667 5.68133333333 2.772 2.99866666667 2.436 3.65066666667
1289 251 (1, 250) 0.288 0 7.43066666667 11.104 3.732 3.76933333333 2.812 3.66533333333
1289 257 (3, 8) 5.18266666667 0 5.75733333333 0.597333333334 0.193333333334 0.131999999999 0.105333333334 2.98533333333
1289 263 (1, 262) 0.330666666667 0 6.26666666667 19.5133333333 4.12666666667 3.87733333333 2.992 5.87333333333
1289 269 (8, 67) 53.836 0 8.772 5.12533333333 1.248 1.03066666667 0.84 4.23866666667
1289 271 (1, 135) 0.358666666667 0 6.00933333333 10.8933333333 2.712 2.58 1.984 5.41466666667
1289 277 (2, 276) 2.53333333333 1.82933333333 6.11733333333 23.792 4.73866666667 4.41333333333 3.408 6.74
1289 281 (2, 7) 2.592 1.95333333333 6.37466666667 0.468 0.224000000001 0.144 0.117333333333 2.01733333333
1289 283 (3, 141) 6.44933333333 0 6.76266666667 12.8493333333 2.98133333333 2.76933333333 2.17733333333 5.96133333333
1289 289 (4, 272) 13.0213333333 0 10.98 24.928 4.13733333333 4.73066666667 3.468 7.47066666667
1289 293 (1, 292) 0.418666666667 0 7.35333333333 17.5733333333 5.35066666667 4.976 3.852 5.74533333333
1289 307 (4, 306) 14.6946666667 0 12.9026666667 34.5626666667 6.116 5.46533333333 4.24 8.66
1289 311 (3, 155) 7.952 0 7.83733333333 17.82 3.836 3.564 2.736 7.544
1289 313 (6, 312) 39.48 0 11.5986666667 36.92 6.528 5.83333333333 4.60533333333 9.23866666667
1289 317 (13, 316) 522.462 0 8.96133333333 39.0586666667 7.008 6.40533333333 5.00933333333 9.92933333333
1289 331 (6, 165) 44.8826666667 0 9.26533333333 22.3946666667 4.38933333333 3.97733333333 3.08266666667 8.74
1289 337 (5, 16) 30.9506666667 0 9.464 2.33733333333 0.571999999999 0.398666666667 0.313333333333 6.516
1289 343 (4, 49) 18.9866666667 0 9.688 7.05333333333 1.04533333333 0.905333333333 0.654666666667 7.04533333333
1289 347 (2, 346) 4.17333333333 3.16666666667 10.0026666667 54.5666666667 8.62666666667 7.73333333333 5.97066666667 12.1426666667
1289 349 (10, 348) 322.512 0 10.3106666667 55.8 8.87733333334 7.896 6.15866666667 12.5693333333
1289 353 (7, 352) 75.2533333333 0 14.4573333333 56.4586666667 8.46266666666 7.36533333334 5.68933333333 12.26
1289 359 (2, 358) 4.37866666667 3.59066666667 10.844 36.7706666667 9.49733333334 8.504 6.63333333333 10.144
1289 361 (9, 171) 337.514 0 19.0 28.2826666667 4.35066666667 4.47733333333 3.504 10.74
1289 367 (2, 183) 4.64266666667 3.71333333333 10.4973333333 33.0426666667 5.93066666667 5.62 4.09866666666 11.764
1289 373 (2, 93) 4.78133333333 4.68133333333 11.364 17.232 3.10666666666 2.45333333333 1.908 10.172
1289 379 (4, 378) 23.9253333333 0 12.1026666667 77.2333333333 11.1333333333 10.0546666667 7.73733333333 15.7266666667
1289 383 (1, 382) 0.802666666665 0 17.7506666667 81.1213333333 11.8053333333 10.644 8.06133333333 16.3653333333
1289 389 (12, 97) 668.924 0 20.0306666667 19.84 3.29466666667 2.504 2.00933333333 11.1266666667
1289 397 (3, 396) 13.764 0 21.276 89.1853333333 12.012 10.16 7.912 16.864
1289 401 (8, 50) 271.284 0 19.2626666667 11.1853333333 1.956 1.372 1.084 11.0
1289 409 (4, 408) 28.744 0 19.8573333333 99.9613333333 12.9146666667 11.2266666667 8.6 18.1986666667
1289 419 (1, 418) 0.980000000001 0 15.992 64.608 13.7426666667 11.5373333333 8.968 14.5666666667
1289 421 (10, 105) 545.008 0 22.4973333333 27.0453333333 4.13733333333 3.14266666667 2.53066666667 13.6293333333
1289 431 (1, 86) 1.03733333333 0 20.5453333333 13.9053333333 3.904 3.06133333333 2.29866666667 9.9
1289 433 (1, 432) 1.048 0 24.0213333333 123.212 14.6493333333 12.3466666667 9.48666666667 20.768
1289 439 (10, 146) 587.364 0 23.2653333333 42.1226666667 6.628 5.544 4.268 16.6346666667
1289 443 (2, 442) 7.12266666667 5.092 17.3546666667 81.532 16.4466666667 14.6453333333 10.8826666667 17.8026666667
1289 449 (4, 64) 35.6 0 24.176 19.4826666667 3.052 2.116 1.66266666667 15.4906666667
1289 457 (10, 456) 643.16 0 25.9666666667 149.601333333 16.7386666667 13.7 10.5226666667 23.9346666667
1289 461 (2, 115) 7.796 6.4 17.4346666667 38.1053333333 5.512 4.29466666667 3.30533333333 18.168
1289 463 (2, 154) 7.852 5.32666666667 19.544 51.9186666667 7.528 6.244 4.76533333333 19.6306666667
1289 467 (3, 466) 20.2013333333 0 28.9186666667 163.197333333 18.6626666667 15.6573333333 11.968 26.128
