# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20,2**20+2**9], nbound=[2**7,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/03.dat')
1048633 139 (2, 138) 2.292 1.11466666667 3.856 2.41333333333 1.37466666667 1.27866666667 1.196 1.86933333333
1048633 149 (8, 74) 55.7213333333 0 4.67733333333 1.54933333333 0.966666666667 0.906666666667 0.844 1.764
1048633 151 (3, 150) 6.108 0 6.81333333333 3.25466666667 1.776 1.70266666667 1.53866666667 2.38666666667
1048633 157 (5, 39) 20.6613333333 0 4.92666666667 0.962666666668 0.549333333334 0.5 0.466666666666 1.62133333333
1048633 163 (1, 81) 0.348000000001 0 5.588 2.076 1.18666666667 1.09333333333 1.03066666667 2.22266666667
1048633 167 (14, 166) 277.325333333 0 8.09466666667 4.61466666667 2.25066666667 2.09733333333 1.93066666667 3.03733333333
1048633 169 (12, 13) 200.030666667 0 5.49866666667 0.432000000001 0.234666666666 0.217333333334 0.208 1.58933333333
1048633 173 (2, 4) 4.07866666667 2.216 5.776 0.217333333334 0.0946666666666 0.0786666666669 0.0826666666665 1.592
1048633 179 (2, 89) 4.404 1.96266666667 6.384 1.90933333333 1.496 1.41333333333 1.28666666667 2.028
1048633 181 (6, 90) 44.872 0 8.932 3.03466666667 1.59866666667 1.496 1.36666666667 2.948
1048633 191 (2, 95) 5.25333333333 3.33466666667 7.43466666667 2.48266666667 1.92266666667 1.824 1.60266666667 2.38533333333
1048633 193 (1, 16) 0.506666666667 0 9.648 0.730666666668 0.304 0.253333333333 0.24 2.344
1048633 197 (9, 196) 143.416 0 7.77733333333 8.01466666667 3.332 3.0 2.78 4.604
1048633 199 (4, 99) 21.6 0 10.572 4.224 2.00266666667 1.85333333333 1.668 3.744
1048633 211 (10, 210) 217.202666667 0 9.49733333333 10.3853333333 3.952 3.55333333333 3.23466666667 5.432
1048633 223 (6, 74) 74.308 0 12.5346666667 4.34533333333 1.94266666667 1.76933333333 1.58 4.56533333333
1048633 227 (24, 113) 1859.716 0 11.2133333333 6.69866666667 2.77466666667 2.488 2.26266666667 5.352
1048633 229 (4, 19) 29.5666666667 0 13.56 1.32 0.530666666668 0.430666666665 0.393333333333 3.704
1048633 233 (2, 116) 6.30933333333 3.96666666667 10.9026666667 4.70933333333 2.86 2.596 2.32266666667 3.93466666667
1048633 239 (2, 238) 6.73466666667 4.336 12.4013333333 10.7133333333 5.85866666666 5.48533333333 4.84266666667 6.80533333333
1048633 241 (2, 240) 6.98933333333 4.01866666667 12.584 16.6013333333 5.69333333333 4.94666666667 4.46266666666 7.81466666667
1048633 243 (1, 81) 0.889333333333 0 13.5693333333 3.50666666667 2.708 2.61066666667 2.42133333333 3.99866666667
1048633 251 (2, 250) 7.38533333333 5.20933333333 13.6026666667 12.548 6.652 6.17333333333 5.45333333333 7.48266666667
1048661 131 (2, 130) 1.96 1.12933333334 3.46266666667 1.32266666667 1.17333333333 1.084 1.03333333334 1.368
