# ./benchmagma.sh m09 5 2**9 2**10 2**10+2**5 2 1
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[5,2**9], nbound=[2**10,2**10+2**5], prime=2, loops=1, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m09.dat')"
283 1031 (1, 515) 15.4264919758
283 1033 (4, 344) 369.360294819
283 1039 (1, 519) 16.2612550259
283 1049 (1, 1048) 16.5362429619
283 1051 (6, 525) 907.5629282
293 1031 (2, 515) 92.8969531059
293 1033 (1, 344) 16.0594370365
293 1039 (2, 519) 82.3247690201
293 1049 (2, 524) 94.5289108753
293 1051 (6, 525) 1114.14280987
307 1031 (1, 1030) 18.3852100372
307 1033 (4, 129) 465.807484865
307 1039 (4, 346) 388.820734978
307 1049 (2, 1048) 101.046674967
307 1051 (6, 5) 967.357582092
311 1031 (2, 206) 96.4721200466
311 1033 (1, 129) 19.9289369583
311 1039 (4, 1038) 454.218760967
311 1049 (1, 1048) 16.4973859787
311 1051 (6, 525) 969.649445057
313 1031 (1, 1030) 15.4050540924
313 1033 (1, 344) 16.0144219398
313 1039 (2, 519) 79.8222489357
313 1049 (2, 1048) 98.9146370888
313 1051 (4, 350) 413.117143869
317 1031 (1, 1030) 15.7530879974
317 1033 (4, 43) 380.874804974
317 1039 (2, 346) 80.2507588863
317 1049 (2, 1048) 91.1287388802
317 1051 (6, 25) 961.941366196
331 1031 (2, 103) 80.1796939373
331 1033 (1, 1032) 18.6938369274
331 1039 (4, 346) 408.414921045
331 1049 (2, 524) 97.0013821125
331 1051 (12, 1050) 4551.48633504
337 1031 (1, 206) 15.5785369873
337 1033 (4, 344) 378.897296906
337 1039 (2, 173) 80.8398070335
337 1049 (2, 1048) 82.7977199554
337 1051 (6, 1050) 983.589305878
347 1031 (2, 515) 80.0626039505
347 1033 (4, 516) 384.999213934
347 1039 (1, 346) 16.7142119408
347 1049 (1, 1048) 16.7253909111
347 1051 (6, 1050) 980.53418088
349 1031 (1, 515) 15.7790510654
349 1033 (4, 129) 381.957366943
349 1039 (1, 1038) 16.7132670879
349 1049 (1, 1048) 16.7345449924
349 1051 (6, 525) 965.394347191
353 1031 (2, 1030) 79.4642970562
353 1033 (4, 344) 380.140486956
353 1039 (4, 1038) 382.334572077
353 1049 (1, 1048) 16.8848109245
353 1051 (4, 525) 392.347366095
359 1031 (1, 515) 15.8708300591
359 1033 (1, 1032) 16.4548459053
359 1039 (4, 1038) 388.333320856
359 1049 (1, 524) 16.7692410946
359 1051 (1, 1050) 17.3931460381
367 1031 (2, 1030) 80.3070290089
367 1033 (4, 129) 382.574524164
367 1039 (1, 519) 19.235213995
367 1049 (2, 1048) 84.4122359753
367 1051 (3, 175) 223.114786863
373 1031 (1, 515) 15.8466410637
373 1033 (1, 43) 16.3617479801
373 1039 (4, 346) 390.001816988
373 1049 (2, 262) 83.7531821728
373 1051 (12, 525) 4521.89188313
379 1031 (1, 515) 16.1303200722
379 1033 (4, 1032) 387.207073927
379 1039 (1, 1038) 16.9056229591
379 1049 (2, 1048) 83.6543750763
379 1051 (6, 525) 983.857194901
383 1031 (1, 1030) 16.2710959911
383 1033 (2, 1032) 81.6711540222
383 1039 (4, 519) 390.489140034
383 1049 (2, 1048) 84.4158859253
383 1051 (6, 525) 998.329009056
389 1031 (2, 1030) 82.0325880051
389 1033 (4, 1032) 401.768688917
389 1039 (2, 346) 83.1551539898
389 1049 (2, 1048) 84.7850139141
389 1051 (12, 1050) 4604.30604386
397 1031 (1, 515) 16.429708004
397 1033 (2, 1032) 82.015029192
397 1039 (4, 346) 405.833693981
397 1049 (2, 131) 85.5403299332
397 1051 (3, 525) 226.734017134
401 1031 (1, 515) 16.1162090302
401 1033 (4, 1032) 402.46501112
401 1039 (4, 519) 404.009684801
401 1049 (1, 262) 16.8745200634
401 1051 (12, 350) 4614.50388002
409 1031 (1, 515) 16.1981890202
409 1033 (4, 1032) 402.134550095
409 1039 (4, 1038) 406.354382038
409 1049 (1, 524) 16.8170170784
409 1051 (4, 50) 416.91684103
419 1031 (2, 515) 81.9938700199
419 1033 (1, 43) 16.6911780834
419 1039 (2, 519) 83.5860340595
419 1049 (2, 1048) 85.757666111
419 1051 (2, 105) 87.2650091648
421 1031 (2, 515) 81.4214789867
421 1033 (1, 516) 16.7855448723
421 1039 (4, 346) 409.478595018
421 1049 (2, 1048) 85.8171730042
421 1051 (3, 1050) 227.522394896
431 1031 (1, 1030) 16.0077130795
431 1033 (4, 258) 404.281148911
431 1039 (1, 346) 17.1450889111
431 1049 (2, 1048) 85.659856081
431 1051 (6, 525) 1009.04175806
433 1031 (1, 1030) 16.2272620201
433 1033 (1, 129) 16.7941429615
433 1039 (4, 346) 409.235613823
433 1049 (1, 1048) 17.0960409641
433 1051 (4, 210) 421.781769991
439 1031 (2, 515) 82.0709109306
439 1033 (1, 1032) 16.7471990585
439 1039 (1, 519) 16.9964029789
439 1049 (2, 524) 86.0304219723
439 1051 (6, 525) 1001.19483185
443 1031 (1, 1030) 16.0886471272
443 1033 (2, 516) 83.0866291523
443 1039 (2, 1038) 85.079198122
443 1049 (2, 262) 86.1559379101
443 1051 (6, 30) 1024.13507485
449 1031 (2, 1030) 82.6392378807
449 1033 (2, 344) 83.3821618557
449 1039 (4, 519) 413.78938508
449 1049 (2, 1048) 86.507486105
449 1051 (3, 1050) 231.524785995
457 1031 (2, 206) 83.0440411568
