# ./benchmagma.sh m02 2**9 2**10 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**9,2**10], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m02.dat')"
557 137 (6, 68) 14.391357104
557 139 (12, 1) 72.4116473198
557 149 (2, 74) 1.24873232841
557 151 (6, 150) 19.5282666683
557 157 (1, 78) 0.2723736763
557 163 (2, 162) 1.40395275752
557 167 (7, 83) 34.3910199006
557 169 (4, 156) 11.4350489775
557 173 (2, 86) 1.71497305234
557 179 (1, 89) 0.388804753621
557 181 (6, 45) 28.6429585616
557 191 (1, 190) 0.40962433815
557 193 (1, 192) 0.381650368373
557 197 (9, 98) 93.2358102798
557 199 (1, 66) 0.485921223958
557 211 (2, 70) 2.43391736348
557 223 (4, 74) 16.6637426217
557 227 (4, 113) 17.2584049702
557 229 (6, 114) 47.7242836952
557 233 (1, 58) 0.630394299825
557 239 (2, 238) 4.3153450489
557 241 (2, 120) 3.74856599172
557 243 (1, 54) 0.541301568349
557 251 (1, 250) 0.682712078094
563 5 (2, 4) 0.0308283964793
563 7 (1, 6) 0.0182979901632
563 9 (2, 6) 0.358049233754
563 11 (2, 10) 0.0407133102417
563 13 (4, 6) 0.1297844251
563 17 (6, 8) 0.179379622142
563 19 (10, 6) 0.558477958043
563 23 (3, 22) 0.0723892847697
563 25 (1, 20) 0.019687016805
563 27 (2, 18) 0.154472986857
563 29 (2, 4) 0.107962369919
563 31 (5, 3) 0.347687323888
563 37 (2, 12) 0.164321104685
563 41 (1, 40) 0.0269596576691
563 43 (4, 7) 0.439249038696
563 47 (3, 2) 0.235149701436
563 49 (2, 42) 0.104832728704
563 53 (2, 52) 0.123623371124
563 59 (3, 58) 0.365781227748
563 61 (3, 6) 0.461016337077
563 67 (1, 22) 0.0493193467458
563 71 (8, 10) 8.14971756935
563 73 (4, 24) 1.19597832362
563 79 (4, 13) 1.37858422597
563 81 (1, 54) 0.0562144120534
563 83 (1, 41) 0.0726376374563
