# ./benchmagma.sh m05 2**30 2**30+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**30,2**30+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m05.dat')"
1073741857 199 (4, 33) 150.101682583
1073741857 211 (10, 105) 1348.45893002
1073741857 223 (12, 111) 2050.06598902
1073741857 227 (1, 113) 6.85634072622
1073741857 229 (12, 19) 2327.28360891
1073741857 233 (2, 232) 41.9921499888
1073741857 239 (2, 119) 44.6349733671
1073741857 241 (2, 60) 45.9702443282
1073741857 243 (1, 81) 7479.39827609
1073741857 251 (1, 1) 8.46129870415
1073741891 5 (2, 1) 0.0262347062429
1073741891 7 (2, 6) 0.0353833039602
1073741891 9 (2, 6) 0.0571325620015
1073741891 11 (1, 10) 0.0287379423777
1073741891 13 (4, 1) 0.411411603292
1073741891 17 (4, 16) 0.73357741038
1073741891 19 (10, 18) 6.29658166567
1073741891 23 (1, 1) 0.0769617557526
1073741891 25 (1, 5) 0.0886220137278
1073741891 27 (2, 18) 0.399364550908
1073741891 29 (2, 14) 0.4382853508
1073741891 31 (10, 6) 17.7324534257
1073741891 37 (4, 18) 3.60553503036
1073741891 41 (2, 10) 1.06326770782
1073741891 43 (4, 42) 4.94626728694
1073741891 47 (3, 23) 4.11632672946
1073741891 49 (4, 42) 8.56545734406
1073741891 53 (1, 52) 0.573187351227
1073741891 59 (12, 58) 127.378685395
1073741891 61 (3, 30) 5.73805038134
1073741891 67 (4, 11) 12.8330086867
1073741891 71 (8, 35) 69.4303228855
1073741891 73 (4, 9) 15.4594653447
1073741891 79 (4, 39) 18.7238793373
1073741891 81 (2, 54) 3.87158060074
1073741891 83 (1, 82) 0.71265967687
1073741891 89 (1, 88) 0.795872688293
1073741891 97 (4, 48) 29.5865950584
1073741891 101 (1, 5) 1.06159893672
1073741891 103 (6, 6) 87.7571899891
1073741891 107 (3, 53) 19.7948883375
1073741891 109 (1, 18) 1.43401734034
1073741891 113 (2, 16) 8.07304096222
1073741891 121 (2, 10) 9.37694303195
1073741891 125 (1, 25) 1.64556566874
1073741891 127 (4, 63) 53.9610586961
1073741891 131 (1, 65) 1.85910089811
1073741891 137 (6, 68) 171.058606942
1073741891 139 (4, 23) 66.5396902561
1073741891 149 (8, 148) 406.742399096
1073741891 151 (3, 25) 53.451196909
1073741891 157 (5, 78) 179.75721701
1073741891 163 (1, 162) 3.6569972833
1073741891 167 (14, 83) 1903.79820704
1073741891 169 (4, 13) 115.723701874
1073741891 173 (1, 172) 3.42508133252
1073741891 179 (2, 89) 22.2373737494
1073741891 181 (1, 18) 3.87335443497
1073741891 191 (1, 190) 4.39615702629
1073741891 193 (1, 64) 4.52007206281
1073741891 197 (9, 196) 661.779977798
1073741891 199 (4, 9) 149.350130002
1073741891 211 (10, 70) 1319.73110509
1073741891 223 (3, 74) 102.675506671
1073741891 227 (8, 226) 952.679933071
1073741891 229 (12, 228) 2356.60425496
1073741891 233 (2, 232) 41.0512682597
1073741891 239 (1, 238) 7.45956174533
1073741891 241 (2, 240) 44.334325552
1073741891 243 (2, 162) 4995.72207117
1073741891 251 (1, 125) 8.36813195546
1073741909 5 (1, 2) 0.0137033462524
1073741909 7 (4, 3) 0.189753055573
1073741909 9 (2, 6) 0.345207691193
1073741909 11 (2, 5) 0.0792826016744
1073741909 13 (1, 12) 0.0287666320801
1073741909 17 (6, 4) 1.80548294385
1073741909 19 (10, 1) 6.50767040253
1073741909 23 (1, 22) 0.0862103303274
1073741909 25 (2, 10) 0.0852213700612
1073741909 27 (2, 18) 0.097815990448
1073741909 29 (2, 28) 0.45760567983
1073741909 31 (10, 30) 18.3645730019
1073741909 37 (1, 36) 0.206143220266
1073741909 41 (2, 20) 0.934159437815
1073741909 43 (1, 42) 0.288592974345
1073741909 47 (3, 23) 3.31266697248
1073741909 49 (2, 21) 1.37011067073
1073741909 53 (1, 13) 0.465932687124
1073741909 59 (12, 58) 89.9142657916
1073741909 61 (3, 20) 5.66963807742
1073741909 67 (2, 22) 2.57112598419
1073741909 71 (8, 14) 69.2288866838
1073741909 73 (4, 72) 15.104298989
1073741909 79 (4, 26) 18.498531421
1073741909 81 (2, 54) 0.656955003738
1073741909 83 (2, 82) 4.17050639788
1073741909 89 (1, 88) 0.777073383331
1073741909 97 (1, 96) 0.967972278595
1073741909 101 (3, 1) 17.2701727549
1073741909 103 (3, 102) 18.3255763849
1073741909 107 (2, 53) 7.45872227351
1073741909 109 (10, 27) 306.354341149
1073741909 113 (1, 112) 1.33061965307
1073741909 121 (6, 5) 129.767323017
1073741909 125 (2, 50) 10.3776750565
1073741909 127 (2, 42) 13.3370787303
1073741909 131 (1, 65) 2.23497573535
1073741909 137 (1, 68) 2.6842622757
1073741909 139 (1, 138) 2.59670869509
1073741909 149 (8, 37) 410.519180059
1073741909 151 (2, 25) 16.1368575891
1073741909 157 (10, 156) 709.158431053
1073741909 163 (2, 18) 20.2407734394
1073741909 167 (7, 166) 421.957173944
1073741909 169 (1, 156) 4.21008960406
1073741909 173 (1, 43) 4.3612763087
1073741909 179 (1, 89) 4.87091859182
1073741909 181 (2, 180) 27.9690060616
1073741909 191 (1, 190) 4.34690157572
1073741909 193 (4, 4) 138.178135713
1073741909 197 (6, 98) 391.030552506
1073741909 199 (1, 99) 6.13096229235
1073741909 211 (10, 105) 1504.82971907
1073741909 223 (4, 111) 193.126807769
1073741909 227 (24, 113) 10085.2004428
1073741909 229 (12, 38) 1926.98443103
1073741909 233 (2, 232) 41.9350763162
1073741909 239 (1, 119) 7.45782438914
1073741909 241 (6, 240) 614.717867136
1073741909 243 (1, 162) 9.13396493594
1073741909 251 (1, 250) 9.75567499797
1073741939 5 (2, 2) 0.0296559333801
1073741939 7 (4, 3) 0.197525024414
1073741939 9 (4, 2) 0.372822682063
1073741939 11 (1, 10) 0.0321835676829
1073741939 13 (1, 6) 0.0342120329539
1073741939 17 (3, 8) 0.472404718399
1073741939 19 (5, 6) 1.93362696966
1073741939 23 (1, 11) 0.10472035408
1073741939 25 (1, 10) 0.0972562630971
1073741939 27 (4, 2) 2.3362493515
1073741939 29 (2, 28) 0.524179379145
1073741939 31 (10, 10) 22.189652284
1073741939 37 (2, 36) 1.08173632622
1073741939 41 (2, 4) 1.17826199532
1073741939 43 (1, 42) 0.354120969772
1073741939 47 (3, 23) 4.36977267265
1073741939 49 (2, 21) 1.77304530144
1073741939 53 (1, 13) 0.518527348836
1073741939 59 (1, 58) 0.807345628738
1073741939 61 (6, 20) 31.3734316031
1073741939 67 (4, 33) 15.785992384
1073741939 71 (8, 35) 81.0242337386
1073741939 73 (4, 36) 15.5096256733
1073741939 79 (1, 39) 0.620995680491
1073741939 81 (16, 6) 434.797917008
1073741939 83 (1, 82) 0.676268021266
1073741939 89 (1, 88) 0.78838411967
1073741939 97 (4, 32) 29.354104201
1073741939 101 (2, 25) 6.33841228485
1073741939 103 (2, 51) 6.62401366234
1073741939 107 (3, 53) 19.7690788905
1073741939 109 (5, 108) 66.1385933558
1073741939 113 (1, 112) 1.33376105626
1073741939 121 (1, 110) 1.58671840032
1073741939 125 (1, 50) 1.66919604937
1073741939 127 (4, 14) 54.4438273907
1073741939 131 (2, 65) 12.3090353807
1073741939 137 (8, 136) 346.833602428
1073741939 139 (4, 138) 74.869691054
1073741939 149 (8, 74) 389.754908919
1073741939 151 (2, 75) 15.7730467319
1073741939 157 (10, 13) 709.845156908
1073741939 163 (4, 9) 112.469602346
1073741939 167 (7, 83) 415.957666636
1073741939 169 (2, 78) 23.8833730221
1073741939 173 (2, 43) 24.708137989
1073741939 179 (2, 89) 27.332403024
1073741939 181 (3, 36) 75.7028676669
1073741939 191 (2, 95) 25.8961820602
1073741939 193 (4, 192) 148.053305308
1073741939 197 (3, 98) 95.4481070836
1073741939 199 (2, 66) 32.6866443157
1073741939 211 (10, 210) 1446.66962504
1073741939 223 (12, 222) 2260.29789996
1073741939 227 (24, 113) 10235.4012911
1073741939 229 (3, 228) 116.569868008
1073741939 233 (2, 29) 41.119787693
1073741939 239 (1, 34) 7.46109731992
1073741939 241 (3, 240) 122.730960369
1073741939 243 (16, 18) 5056.49256301
1073741939 251 (1, 125) 9.76556166013
1073741953 5 (1, 4) 0.0189807415009
1073741953 7 (1, 3) 0.0193959077199
1073741953 9 (1, 3) 3.63204169273
1073741953 11 (2, 5) 0.125532627106
1073741953 13 (2, 12) 0.167039394379
1073741953 17 (3, 16) 0.500180959702
1073741953 19 (5, 3) 1.66676966349
1073741953 23 (2, 22) 0.42332760493
1073741953 25 (2, 20) 0.402383089066
1073741953 27 (1, 9) 16.8886257013
1073741953 29 (1, 4) 0.128859122594
1073741953 31 (5, 6) 4.93058029811
1073741953 37 (2, 12) 0.953255971273
1073741953 41 (1, 20) 0.300518989563
1073741953 43 (4, 7) 6.02161534627
1073741953 47 (6, 46) 18.4520613352
1073741953 49 (4, 21) 6.80513898532
1073741953 53 (1, 26) 0.468550999959
1073741953 59 (6, 29) 27.4181710084
1073741953 61 (3, 60) 5.40671300888
1073741953 67 (2, 66) 2.63506698608
1073741953 71 (8, 70) 69.0012466908
1073741953 73 (4, 3) 15.2773677508
1073741953 79 (4, 3) 18.8485159079
1073741953 81 (2, 27) 4.02036499977
1073741953 83 (1, 41) 0.675633907318
1073741953 89 (2, 88) 4.9524315993
1073741953 97 (1, 48) 0.962409337362
1073741953 101 (3, 50) 16.4887949626
1073741953 103 (6, 51) 84.6468110085
1073741953 107 (3, 53) 18.7547383308
1073741953 109 (5, 9) 66.2582666874
1073741953 113 (1, 112) 1.32570799192
1073741953 121 (3, 55) 24.7515853246
1073741953 125 (2, 100) 10.4432846705
1073741953 127 (4, 126) 53.9173018138
1073741953 131 (1, 13) 1.86753424009
1073741953 137 (3, 68) 33.0196009477
1073741953 139 (4, 69) 66.5370446841
1073741953 149 (4, 74) 89.9583067099
1073741953 151 (3, 150) 43.0979166826
1073741953 157 (5, 39) 153.211696704
1073741953 163 (1, 162) 3.09916226069
1073741953 167 (14, 83) 1609.62863922
1073741953 169 (4, 156) 101.787687699
1073741953 173 (1, 172) 3.44737823804
1073741953 179 (1, 178) 3.72240297
1073741953 181 (6, 90) 325.199549437
1073741953 191 (1, 95) 4.39806302389
1073741953 193 (4, 192) 140.184673389
1073741953 197 (18, 196) 3685.32352805
1073741953 199 (2, 198) 29.775034984
