# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10,2**11], nbound=[3,2**8], prime=2, loops=10, verbose=True, write=True, fname=os.getcwd()+'/03.dat')
1033 73 (4, 72) 0.6408 0 0.2884 0.2568 0.1384 0.138 0.1176 0.1852
1033 79 (2, 78) 0.2152 0.1324 0.2744 0.358 0.1776 0.186 0.1516 0.2408
1033 81 (1, 27) 0.0232 0 0.29 0.082 0.0464 0.0531999999999 0.0432000000001 0.0835999999999
1033 83 (1, 41) 0.024 0 0.3088 0.1464 0.1088 0.1128 0.0940000000001 0.1396
1033 89 (1, 88) 0.0284000000001 0 0.3404 0.36 0.2284 0.2328 0.1928 0.264
1033 97 (4, 32) 1.1708 0 2.1664 0.2064 0.1048 0.102 0.0872000000001 0.2624
1033 101 (6, 50) 3.1592 0 2.1632 0.3684 0.1776 0.1772 0.1464 0.3268
1033 103 (6, 34) 3.2416 0 0.636 0.2672 0.1344 0.1332 0.1104 0.3076
1033 107 (3, 106) 0.7956 0 2.282 0.9304 0.3748 0.4092 0.3272 0.5228
1033 109 (10, 108) 11.3996 0 0.7412 0.9856 0.3768 0.3816 0.3048 0.5072
1033 113 (2, 7) 0.4016 0.2736 0.7896 0.0476000000001 0.04 0.0368 0.0316000000001 0.2292
1033 121 (3, 22) 1.0232 0 2.7888 0.242 0.0936 0.1024 0.0808000000001 0.3932
1033 125 (2, 100) 0.4784 0.3004 0.938 0.8372 0.6788 0.7712 0.6504 0.8904
1033 127 (4, 63) 2.1168 0 2.7552 0.8336 0.3588 0.3712 0.2956 0.6668
1033 131 (1, 130) 0.0672 0 1.0248 1.1916 0.6592 0.7052 0.5396 0.6532
1033 137 (2, 17) 0.5772 0.4004 1.2684 0.2564 0.1148 0.1068 0.0896000000001 0.5912
1033 139 (2, 46) 0.5888 0.386 1.2308 0.7084 0.2896 0.2796 0.2324 0.756
1033 149 (8, 148) 14.128 0 3.5648 2.8472 0.9492 0.9504 0.7612 1.3256
1033 151 (3, 25) 1.6548 0 1.7852 0.4792 0.1932 0.1848 0.148 0.7996
1033 157 (5, 156) 5.5136 0 1.4852 3.364 1.0964 1.1248 0.8764 1.554
1033 163 (4, 81) 3.6548 0 1.4976 1.8212 0.6248 0.6048 0.4856 1.2528
1033 167 (14, 83) 77.936 0 2.5344 2.6568 0.8776 0.888 0.5888 1.8808
1033 169 (4, 12) 5.3864 0 2.722 0.3984 0.1788 0.1828 0.122 1.346
1033 173 (1, 172) 0.1216 0 2.4088 4.2944 1.9396 2.118 1.5672 2.0192
1033 179 (2, 89) 1.3324 1.0536 2.7084 2.2088 1.2236 1.124 0.8764 1.9048
1033 181 (3, 180) 3.7036 0 3.1196 6.8344 2.3032 2.3656 1.826 3.2364
1033 191 (2, 95) 1.6908 1.12 3.5804 3.1656 1.5976 1.6212 0.824 1.458
1033 193 (1, 64) 0.1636 0 2.3568 2.1392 0.6372 0.566 0.4668 1.7916
1033 197 (9, 196) 35.598 0 2.6744 7.3112 1.8764 1.7664 1.3988 2.6696
1033 199 (4, 198) 5.6064 0 5.412 7.7376 1.9532 1.9284 1.4864 2.7772
1033 211 (10, 105) 52.1724 0 6.5484 4.5568 1.2144 1.1684 0.9392 2.5196
1033 223 (6, 74) 18.5852 0 6.038 3.8064 1.1264 1.0628 0.8604 2.7836
1033 227 (8, 226) 37.2892 0 6.862 12.148 2.8132 2.7312 2.102 3.9944
1033 229 (3, 228) 4.0416 0 6.656 12.4972 2.8564 2.7632 2.2048 4.0932
