# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**30,2**30+2**10], nbound=[3,2**8], prime=2, loops=10, verbose=True, write=True, fname=os.getcwd()+'/05.dat')
1073741831 53 (1, 13) 0.0679999999993 0 0.917600000001 0.0367999999995 0.0528000000006 0.0479999999996 0.0544000000002 0.0731999999996
1073741831 59 (12, 29) 58.3992 0 1.0932 0.1308 0.1532 0.144 0.148 0.2156
1073741831 61 (6, 60) 11.9824 0 1.064 0.2804 0.3084 0.282799999999 0.2912 0.3424
1073741831 67 (4, 66) 5.8308 0 1.322 0.3612 0.38 0.336 0.3568 0.4532
1073741831 71 (4, 35) 6.6584 0 1.6812 0.2432 0.254399999999 0.2432 0.2548 0.394
1073741831 73 (2, 72) 1.5052 0.739999999999 1.6764 0.4744 0.6068 0.4136 0.4392 0.544
1073741831 79 (1, 78) 0.161599999999 0 2.1944 0.6596 0.598 0.5448 0.5564 0.718
1073741831 81 (2, 2) 1.8768 0.7816 2.2304 0.0307999999997 0.0224000000002 0.0239999999998 0.0324000000001 0.182
1073741831 83 (2, 82) 1.9568 0.9396 2.0908 0.525999999999 0.642400000001 0.5752 0.6152 0.713599999999
1073741831 89 (2, 22) 2.3804 0.978 2.5984 0.174000000001 0.2048 0.1876 0.1992 0.3192
1073741831 97 (1, 96) 0.258 0 12.1 1.19 0.9124 0.8116 0.8392 1.13
1073741831 101 (3, 25) 7.6236 0 7.5808 0.375599999999 0.2824 0.2552 0.2692 0.7248
1073741831 103 (3, 17) 7.9772 0 7.6056 0.278 0.2132 0.2004 0.214 0.6988
1073741831 107 (3, 53) 9.0764 0 4.824 0.872 0.666800000001 0.6236 0.6212 1.1012
1073741831 109 (10, 108) 221.3316 0 5.1408 1.8424 1.2932 1.2196 1.218 1.624
1073741831 113 (2, 56) 3.9904 1.6996 5.378 0.7536 0.830799999999 0.7684 0.842 1.1924
1073741831 121 (2, 110) 4.6432 2.108 5.8784 2.3672 1.5424 1.5376 1.4624 2.104
1073741831 125 (1, 25) 0.558 0 7.3772 0.6344 0.310799999999 0.292 0.3024 1.164
1073741831 127 (2, 63) 5.4708 2.2384 6.7876 1.6356 1.1792 1.1272 1.0876 2.0192
1073741831 131 (1, 26) 0.5496 0 7.9176 0.5096 0.442000000001 0.401999999999 0.4036 1.1164
1073741831 137 (2, 136) 6.3616 2.94 11.464 6.1604 3.8208 3.468 3.4396 5.088
1073741831 139 (4, 23) 52.7652 0 20.4584 1.1904 0.768799999999 0.6932 0.6924 2.9172
1073741831 149 (8, 148) 199.0856 0 11.0844 5.2648 2.8788 2.6324 2.588 3.7492
1073741831 151 (1, 5) 0.731600000001 0 9.7692 0.2768 0.1464 0.127200000001 0.145600000001 1.8512
1073741831 157 (5, 78) 74.6296 0 31.2708 3.3 1.9092 1.7772 1.71 3.4324
1073741831 163 (4, 162) 46.9652 0 28.4748 7.1676 3.548 3.1852 3.1536 4.7292
1073741831 167 (2, 166) 9.794 4.4524 17.3132 8.0352 3.9008 3.5372 3.5056 5.1056
1073741831 169 (2, 156) 9.8816 4.5488 14.6504 7.2664 3.5728 3.5692 3.3404 5.086
1073741831 173 (2, 86) 10.274 4.7164 16.4344 4.8292 4.006 3.818 3.63 6.3144
1073741831 179 (1, 178) 1.862 0 44.024 10.5764 7.5924 7.002 6.904 9.0744
1073741831 181 (2, 10) 19.4948 9.3204 21.4792 0.710799999999 0.317200000001 0.28 0.2856 3.1156
1073741831 191 (2, 190) 13.5548 6.16 19.0288 8.882 5.7 5.3436 5.022 5.7204
1073741831 193 (4, 192) 70.74 0 46.0688 12.7492 5.128 4.4532 4.5156 7.1076
1073741831 197 (18, 49) 2333.5744 0 82.0004 3.4728 1.5708 1.3264 1.3344 4.75
1073741831 199 (4, 198) 75.4292 0 61.1412 14.5396 5.9356 5.38 5.1776 8.044
1073741831 211 (10, 21) 817.374 0 23.282 1.9388 0.810400000001 0.6868 0.668799999999 4.9808
1073741831 223 (3, 222) 50.4032 0 62.2296 22.222 7.8948 7.39 6.8192 10.7992
1073741831 227 (4, 226) 126.9312 0 38.4592 22.8072 7.9204 7.0652 6.758 10.9876
1073741831 229 (6, 228) 278.7744 0 77.5436 23.5196 8.0896 7.2184 6.8908 11.2092
1073741831 233 (2, 116) 21.1424 10.594 29.5808 7.6208 4.9432 4.5096 4.2684 7.066
1073741831 239 (1, 238) 2.2272 0 94.0972 18.1576 9.4184 8.792 8.0988 11.3232
1073741831 241 (1, 240) 2.258 0 98.1568 28.1496 9.096 8.0804 7.6884 12.7592
1073741831 243 (20, 6) 4874.576 0 33.298 1.036 0.539999999999 0.450800000003 0.478 7.1216
1073741831 251 (2, 50) 24.9168 12.2528 35.264 4.3996 2.5592 2.1964 2.0468 7.4804
1073741833 3 (2, 1) 0.0220000000001 0.011599999998 0.0144 0.000399999998626 0.0 0.0 0 0
1073741833 5 (4, 4) 0.0684000000008 0 0.0108000000007 0.000800000000163 0.0012000000017 0.000799999997253 0.0012000000017 0.000399999998626
1073741833 7 (2, 6) 0.0380000000005 0.0239999999991 0.0200000000041 0.000799999997253 0.00280000000203 0.00199999999895 0.00240000000049 0.00199999999895
1073741833 9 (4, 1) 0.1092 0 0.0415999999997 0.000400000001537 0.000399999998626 0.000400000001537 0 0
1073741833 11 (1, 2) 0.00439999999944 0 0.038400000002 0.00119999999879 0.00199999999895 0.00160000000033 0.00199999999895 0.00199999999895
1073741833 13 (1, 4) 0.0051999999996 0 0.0472000000009 0.00119999999879 0.00279999999912 0.00320000000065 0.00359999999928 0.00359999999928
1073741833 17 (8, 16) 1.2448 0 0.0891999999993 0.0051999999996 0.0148000000016 0.0127999999997 0.0144 0.0131999999983
1073741833 19 (10, 1) 2.6748 0 0.107600000003 0.000799999997253 0.000800000000163 0.00160000000033 0 0
1073741833 23 (2, 11) 0.149599999998 0.0952000000019 0.1508 0.00679999999993 0.0160000000003 0.0147999999986 0.016399999999 0.0160000000003
