# ./benchmagma.sh m08 2**60 2**60+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**60,2**60+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m08.dat')"
1152921504606847201 109 (5, 108) 225.954453627
1152921504606847201 113 (2, 4) 27.4553825855
1152921504606847201 121 (10, 110) 32.4314510028
1152921504606847201 125 (1, 5) 4.8674753507
1152921504606847201 127 (4, 126) 192.485954364
1152921504606847201 131 (1, 130) 5.48926663399
1152921504606847201 137 (6, 68) 571.355903029
1152921504606847201 139 (2, 138) 44.9111509323
1152921504606847201 149 (2, 148) 52.8885829449
1152921504606847201 151 (2, 30) 54.6963359515
1152921504606847201 157 (5, 78) 511.109170914
1152921504606847201 163 (4, 81) 340.451179028
1152921504606847201 167 (14, 166) 5741.34674001
1152921504606847201 169 (1, 52) 10.0139783223
1152921504606847201 173 (1, 43) 10.5585343043
1152921504606847201 179 (2, 89) 81.1297029654
1152921504606847201 181 (2, 36) 83.4205137094
1152921504606847201 191 (2, 38) 94.2523827553
1152921504606847201 193 (4, 64) 490.733284473
1152921504606847201 197 (1, 196) 14.5331155459
1152921504606847201 199 (4, 99) 533.912890434
1152921504606847201 211 (2, 15) 120.268811067
1152921504606847201 223 (1, 111) 19.3146049182
1152921504606847201 227 (12, 226) 7542.39756799
1152921504606847201 229 (2, 114) 147.307000081
1152921504606847201 233 (1, 58) 21.3515086174
1152921504606847201 239 (2, 119) 162.445589304
1152921504606847201 241 (3, 80) 427.27659595
1152921504606847201 243 (1, 27) 24.1404519876
1152921504606847201 251 (1, 125) 25.9835400581
1152921504606847229 5 (2, 2) 0.141503572464
1152921504606847229 7 (4, 3) 0.560020685196
1152921504606847229 9 (2, 6) 0.107840696971
1152921504606847229 11 (1, 1) 0.0556116104126
1152921504606847229 13 (4, 12) 1.18421538671
1152921504606847229 17 (6, 16) 6.17520531019
1152921504606847229 19 (10, 18) 21.4346320629
1152921504606847229 23 (3, 11) 2.149923563
1152921504606847229 25 (1, 10) 0.217540661494
1152921504606847229 27 (2, 18) 0.25671172142
1152921504606847229 29 (1, 28) 0.295790274938
1152921504606847229 31 (10, 6) 64.3462766012
1152921504606847229 37 (1, 18) 0.55804737409
1152921504606847229 41 (1, 20) 0.692361752192
1152921504606847229 43 (2, 7) 3.16124606133
1152921504606847229 47 (2, 2) 8.80848026276
1152921504606847229 49 (2, 21) 9.34735790888
